Symbol,Name,Inception,Structure,Tracks This Index,Index Description,Category,Provider,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,Asset Class,Asset Class Size,Asset Class Style,Region,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Health Care,Industrials,Real Estate,Technology,Utilities,Leveraged,Inverse,Top Holdings,Chart,,,,,,,,,,,,,
DSC,SPDR DJ Wilshire Small Cap ETF,2005-11-08,ETF,Dow Jones U.S. Small-Cap Total Stock Market Total Return Index,"The Dow Jones U.S. Small-Cap Total Stock Market Index is a subset of the Dow Jones U.S. Total Stock Market Index, which measures all U.S. equity securities with readily available prices. The index represents the stocks ranked 751-2,500 by full market capitalization and is float-adjusted market cap weighted.",Small Cap Blend Equities,State Street SPDR,0.25%,,,$0.00 ,0,,,Equity,Small-Cap,Blend,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
DSG,SPDR DJ Wilshire Small Cap Growth,2000-09-25,ETF,Dow Jones U.S. Small-Cap Growth Total Stock Market Index,The Dow Jones U.S. Small-Cap Growth Total Stock Market index is a float-adjusted market capitalization U.S. Total Stock Market index actually available to investors in the marketplace. The Small-Cap Growth Index includes the components ranked 751-2500 by full market capitalization and that are classified as,Small Cap Growth Equities,State Street SPDR,0.25%,,,$0.00 ,0,,,Equity,Small-Cap,Growth,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
DSI,KLD 400 Social Index Fund,2006-11-14,ETF,MSCI KLD 400 Social Index,"The index is a float-adjusted market capitalization index designed to measure the equity performance of U.S. companies that have positive environmental, social, and governance characteristics.",Large Cap Blend Equities,iShares,0.50%,$0.25,1.27%,$302.50 ,4.4," 22,650 ", 1.04 ,Equity,Large-Cap,Blend,North America,3.10%,2.01%,13.11%,12.75%,4.90%,11.31%,15.41%,8.52%,3.56%,23.62%,1.50%,,,click,click,,,,,,,,,,,,,
DSTJ,Double Short US Long Bond Treasury Futures ETNs,2010-10-04,ETN,NYSE US Long Bond Treasury Futures Index (-200%),The index seeks to replicate the returns of maintaining a long position in the longer dated end of the US Treasury curve.,Leveraged Bonds,JP Morgan,0.85%,,,$7.70 ,0.2," 1,422 ", (10.81),Bond,,,North America,,,,,,,,,,,,2x,Yes,click,click,,,,,,,,,,,,,
DSUM,Chinese Yuan Dim Sum Bond Portfolio,2011-09-23,ETF,Citigroup Dim Sum (Offshore CNY) Bond Index,The index measures the performance of Chinese Yuan-denominated &quot;Dim Sum&quot; bonds that are issued and settled outside of Mainland China.,Emerging Markets Bonds,Invesco PowerShares,0.46%,$0.07,3.25%,$153.00 ,6.1," 74,989 ", 0.18 ,Bond,,,Emerging Asia Pacific,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
DSV,SPDR DJ Wilshire Small Cap Value,2000-09-25,ETF,Dow Jones U.S. Small-Cap Value Total Stock Market Index,The Dow Jones U.S. Small-Cap Value Total Stock Market index is a float-adjusted market capitalization weighted index that reflects the shares of securities of the small cap portion of the Dow Jones U.S. Total Stock Market index actually available to investors in the marketplace. The Small-Cap Value Index includes the components ranked 751-2500 by full market capitalization and that are classified as,Small Cap Value Equities,State Street SPDR,0.25%,,,$0.00 ,0,,,Equity,Small-Cap,Value,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
DSXJ,Double Short US 10 Year Treasury Futures ETNs,2010-10-04,ETN,NYSE US 10 Year Treasury Futures Index (-200%),The Index seeks to replicate the returns of maintaining a long position in the medium part of the US Treasury curve.,Leveraged Bonds,JP Morgan,0.85%,,,$8.00 ,0.2, 668 , (6.54),Bond,,,North America,,,,,,,,,,,,2x,Yes,click,click,,,,,,,,,,,,,
DTD,Total Dividend Fund,2006-06-16,ETF,WisdomTree Dividend Index,"The WisdomTree Dividend Index is a fundamentally-weighted index that defines the dividend-paying portion of the U.S. stock market. The Index measures the performance of US companies, listed on the NYSE, AMEX or NASDAQ Global Market, that pay regular cash dividends and that meet other liquidity and capitalization requirements established by WisdomTree.",Large Cap Value Equities,WisdomTree,0.28%,$0.14,2.25%,$391.30 ,5.9," 24,931 ", 0.92 ,Equity,Large-Cap,Value,North America,3.57%,6.39%,9.78%,12.47%,9.40%,12.55%,10.42%,10.94%,5.37%,12.56%,6.55%,,,click,click,,,,,,,,,,,,,
DTH,DEFA High-Yielding Equity Fund,2006-06-16,ETF,WisdomTree DEFA Equity Income Index,"The WisdomTree DEFA Equity Income Index is a fundamentally weighted Index that measures the performance of companies with high dividend yields selected from the WisdomTree DEFA Index. At the index measurement date, companies within the WisdomTree DEFA Index with market capitalizations of at least $200 million and average daily trading volumes of at least $200,000 for the prior three months are ranked by dividend yield.",Foreign Large Cap Equities,WisdomTree,0.58%,$0.35,3.87%,$281.20 ,6," 18,938 ", (1.16),Equity,Large-Cap,Blend,Developed Markets,7.50%,16.38%,5.15%,6.74%,11.89%,23.31%,7.90%,8.96%,1.25%,1.21%,9.66%,,,click,click,,,,,,,,,,,,,
DTN,Dividend ex-Financials Fund,2006-06-16,ETF,WisdomTree Dividend ex-Financials index,"WisdomTree Dividend ex-Financials index measures the performance of high dividend-yielding stocks outside the financial sector. The index consists primarily of large- and mid-capitalization companies listed on major U.S. stock exchanges that pass WisdomTree Investments market capitalization, liquidity and selection requirements.",Large Cap Value Equities,WisdomTree,0.38%,$0.17,2.79%,"$1,145.10 ",16.7," 63,567 ", 0.89 ,Equity,Large-Cap,Value,North America,7.55%,5.91%,10.83%,12.75%,11.14%,1.44%,10.50%,11.80%,0.01%,12.70%,15.36%,,,click,click,,,,,,,,,,,,,
DTO,DB Crude Oil Dble Short ETN,2008-06-16,ETN,Deutsche Bank Liquid Commodity Index-Oil (-200%),The index is designed to reflect the performance of certain crude oil futures contracts plus the returns from investing in 3 month United States Treaury Bills.,Leveraged Commodities,Invesco PowerShares,0.75%,,,$102.00 ,3," 229,291 ", (2.93),Commodity,,,,,,,,,,,,,,,2x,Yes,click,click,,,,,,,,,,,,,
EAPS,Europe MSCI EAFE ESG Index ETF,2011-01-28,ETF,MSCI EAFE ESG Index,"The index consists of equity securities of issuers in Europe Middle East and the Pacific regions that meet specific environmental, social and governance criteria developed by MSCI.",Foreign Large Cap Equities,Pax World,0.55%,$0.40,2.10%,$57.20 ,2," 10,639 ", 1.65 ,Equity,Large-Cap,Blend,Developed Markets,7.03%,6.28%,11.58%,13.37%,4.31%,21.99%,12.76%,13.04%,2.04%,3.63%,1.13%,,,click,click,,,,,,,,,,,,,
EATX,Food ETF,2011-05-03,ETF,Solactive Global Food Index,"The Solactive Global Food Index is designed to reflect the performance of the food industry. It is comprised of common stocks, ADRs and GDRs of selected companies globally that are primarily engaged in the agriproduct or livestock operations or in the manufacture, sale or distribution of food products, agriproducts and products related to the development of new food technologies. The stocks are screened for liquidity and weighted according to free-float market capitalization. A specific capping methodology is applied at the semi-annual index review to facilitate compliance with the rules governing the listing of financial products on exchanges in the United States. The index is maintained by Structured Solutions AG.",Consumer Staples Equities,Global X,0.65%,$0.18,1.17%,$3.00 ,0.2," 2,775 ", 1.42 ,Equity,,,Global,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
EBND,SPDR Barclays Capital Emerging Markets Local Bond ETF,2011-02-23,ETF,Barclays Capital EM Local Currency Government Capped Index,The index tracks the fixed-rate local currency sovereign debt of emerging market countries.,Emerging Markets Bonds,State Street SPDR,0.50%,$0.13,4.93%,$173.90 ,5.9," 79,229 ", (0.93),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
ECH,iShares MSCI Chile Capped ETF,2007-11-12,ETF,MSCI Chile Investable Market Index,The index measures the performance of the Chilean equity market.,Latin America Equities,iShares,0.59%,$0.03,1.44%,$365.80 ,7.8," 255,120 ", (1.84),Equity,,,Latin America,7.58%,3.01%,17.17%,6.27%,0.00%,15.60%,0.00%,15.34%,3.52%,2.35%,20.38%,,,click,click,,,,,,,,,,,,,
ECNS,iShares MSCI China Small-Cap ETF,2010-09-28,ETF,MSCI China Small Cap Index,The index measures the performance of small cap Chinese equities.,China Equities,iShares,0.60%,$0.66,2.91%,$31.80 ,0.7," 6,517 ", 1.85 ,Equity,Small-Cap,,Emerging Asia Pacific,12.60%,0.44%,16.95%,4.65%,5.67%,1.06%,7.55%,16.57%,12.03%,15.30%,5.20%,,,click,click,,,,,,,,,,,,,
ECON,EGShares Emerging Markets Consumer,2010-09-14,ETF,Dow Jones Emerging Market Consumer Index,The index is a free-float market cap weighted index of 30 leading emerging market companies in the Consumer Goods and Consumer Services sectors.,Consumer Staples Equities,EG Shares,0.85%,$0.11,0.40%,"$1,282.20 ",48.6," 286,181 ", (1.54),Equity,,,Emerging Markets,0.00%,9.79%,32.26%,55.88%,0.00%,0.00%,0.00%,2.07%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
EDC,Daily Emerging Markets Bull 3X Shares,2008-12-17,ETF,MSCI Emerging Markets Index (300%),"The MSCI Emerging Markets index is a free float-adjusted market capitalization index that is designed to measure equity market performance in the global emerging markets. As of September 30, 2007, the MSCI Emerging Markets index consisted of the following 21 emerging market country indices: Argentina, Brazil, Chile, China, Czech Republic, Egypt, Hong Kong, Hungary, India, Indonesia, Israel, Malaysia, Mexico, Peru, Philippines, Russia, South Africa, South Korea, Taiwan, Thailand and Turkey.",Leveraged Equities,Direxion,0.95%,$0.09,0.33%,$334.50 ,12.1," 2,024,603 ", (5.53),Equity,Large-Cap,,Emerging Markets,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
EDEN,MSCI Denmark Capped Investable Market Index Fund,2012-01-25,ETF,MSCI Denmark IMI 25/50 Index,"The Underlying Index is designed to measure broad-based equity market performance in Denmark. A capping methodology is applied that limits the weight of any single component to a maximum of 25% of the Underlying Index. Additionally, the sum of components that individually constitute more than 5% of the weight of the Underlying Index cannot exceed a maximum of 50% of the weight of the Underlying Index in the aggregate. The Underlying Index consists of stocks traded primarily on the Danish stock exchange. Component companies include financial, health care and industrial companies. The component companies may change over time.",Europe Equities,iShares,0.53%,$0.02,0.04%,$17.80 ,0.4," 5,675 ", 1.44 ,Equity,Multi-Cap,Blend,Developed Europe,9.58%,3.92%,3.14%,8.35%,0.00%,16.57%,34.53%,11.88%,0.00%,3.34%,0.00%,,,click,click,,,,,,,,,,,,,
EDIV,SPDR S&P Emerging Markets Dividend ETF,2011-02-23,ETF,S&P Emerging Markets Dividend Opportunities Index,The index tracks dividend paying securities of publicly-traded companies in emerging markets.,Emerging Markets Equities,State Street SPDR,0.59%,$0.21,5.93%,$522.50 ,13.5," 112,864 ", (1.63),Equity,,,Emerging Markets,13.75%,19.23%,3.53%,0.45%,7.54%,16.43%,0.00%,3.74%,2.85%,11.70%,13.31%,,,click,click,,,,,,,,,,,,,
EDV,Extended Duration Treasury ETF,2007-12-06,ETF,Barclays Capital U.S. Treasury STRIPS 20-30 Year Equal Par Bond Index,The Barclays Capital U.S. Treasury STRIPS 20-30 Year Equal Par Bond Index measures the investment return of Treasury STRIPS with maturities ranging from 20 to 30 years. A Treasury STRIP represents a single coupon or principal payment on a U.S. Treasury security that has been stripped into separately tradable components.,Government Bonds,Vanguard,0.12%,$0.59,9.47%,$114.90 ,1.3," 30,659 ", (1.84),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
EDZ,Daily Emerging Markets Bear 3X Shares,2008-12-17,ETF,MSCI Emerging Markets Index (-300%),"The MSCI Emerging Markets index is a free float-adjusted market capitalization index that is designed to measure equity market performance in the global emerging markets. As of September 30, 2007, the MSCI Emerging Markets index consisted of the following 21 emerging market country indices: Argentina, Brazil, Chile, China, Czech Republic, Egypt, Hong Kong, Hungary, India, Indonesia, Israel, Malaysia, Mexico, Peru, Philippines, Russia, South Africa, South Korea, Taiwan, Thailand and Turkey.",Leveraged Equities,Direxion,0.95%,,,$92.20 ,2.2," 427,197 ", (5.62),Equity,Large-Cap,,Emerging Markets,,,,,,,,,,,,3x,Yes,click,click,,,,,,,,,,,,,
EEB,BRIC ETF,2006-09-21,ETF,Bank of New York Mellon BRIC Select ADR Index,"The index is comprised of American depositary receipts and global depositary receipts selected, based on liquidity, from a universe of all listed depositary receipts of companies from Brazil, Russia, India and China currently trading on U.S. exchanges.",Emerging Markets Equities,Guggenheim,0.60%,$0.95,2.76%,$361.20 ,10.5," 53,278 ", (1.87),Equity,Large-Cap,Blend,Emerging Markets,10.74%,16.01%,2.24%,9.81%,23.28%,17.86%,1.62%,2.01%,0.00%,13.22%,3.22%,,,click,click,,,,,,,,,,,,,
EEG,Dow Jones Emerging Markets Composite Titans Index Fund,2009-07-21,ETF,Dow Jones Emerging Markets Titans Composite Index,"The Dow Jones Emerging Markets Titans Composite Index is a stock market index comprised of a representative sample of 100 Emerging Markets companies that Dow Jones Indexes deems to be leading companies in each of the10 industrial sectors, as defined by the Industry Classification Benchmark (ICB) across the developing world.",Emerging Markets Equities,EG Shares,0.75%,,,$0.00 ,0,,,Equity,Large-Cap,Blend,Emerging Markets,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
EEH,SPECTRUM Lg Cap U.S. Sector ETN,2007-08-01,ETN,SPECTRUM Large Cap U.S. Sector Momentum Index,The index applies the methodology of momentum investing to the ten component sub-indices of the S&amp;P 500 Index.,Large Cap Blend Equities,ELEMENTS,0.75%,,,$1.70 ,0.2," 2,122 ", (37.27),Equity,Large-Cap,Blend,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
EEHB,S&P Emerging Markets High Beta Portfolio,2012-02-24,ETF,S&P BMI Emerging Markets High Beta Index,"The index consists of the 200 stocks in the S&amp;P Emerging BMI Plus LargeMid Cap Index that are the most sensitive to changes in market returns (or beta) over the past 12 months. Constituents are weighted by their corresponding beta, with the most sensitive stocks receiving the highest weights.",Emerging Markets Equities,Invesco PowerShares,0.29%,$0.19,2.68%,$4.00 ,0.2," 18,912 ", (2.29),Equity,,,Emerging Markets,27.00%,1.25%,4.88%,0.44%,6.82%,23.56%,0.48%,16.73%,3.64%,5.16%,2.11%,,,click,click,,,,,,,,,,,,,
EELV,S&P Emerging Markets Low Volatility Portfolio,2012-01-13,ETF,S&P BMI Emerging Markets Low Volatility Index,"The index  is designed to measure the performance of 200 of the least volatile stocks of the S&amp;P Emerging BMI plus LargeMid Cap Index. The S&amp;P Emerging BMI Plus LargeMid Cap Index includes all publicly listed equity securities with float-adjusted market values of at least $100 million and annual dollar value traded of at least $50 million from the following countries: Brazil, Chile, China, Colombia, Czech Republic, Egypt, Hungary, India, Indonesia, South Korea, Malaysia, Mexico, Morocco, Peru, Philippines, Poland, Russia, South Africa, Taiwan, Thailand and Turkey.",Emerging Markets Equities,Invesco PowerShares,0.29%,$0.18,2.48%,$224.10 ,8.2," 51,323 ", (1.49),Equity,,,Emerging Markets,7.68%,9.86%,9.11%,10.72%,6.82%,30.07%,2.39%,11.83%,2.20%,2.19%,4.57%,,,click,click,,,,,,,,,,,,,
